Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p003,C05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CX11314,2,,,
p003,C06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,JU775,2,,,
p003,C07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,DL238,2,,,
p003,C08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,MY16,2,,,
p003,C09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CB4856,2,,,
p003,C10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,PD1074,2,,,
p003,C11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,CX11314,2,,,
p003,C12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00158,20200805,serial; see notes,JU775,2,,,
p003,D01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,DL238,2,,,
p003,D02,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,MY16,2,,,
p003,D03,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CB4856,2,,,
p003,D04,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,PD1074,2,,,
p003,D05,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CX11314,2,,,
p003,D06,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,JU775,2,,,
p003,D07,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,DL238,2,,,
p003,D08,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,MY16,2,,,
p003,D09,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CB4856,2,,,
p003,D10,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,PD1074,2,,,
p003,D11,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,CX11314,2,,,
p003,D12,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00237,20200805,serial; see notes,JU775,2,,,
p003,E01,48h,10,15hHB101_20200813,DMSO,1,doramectin,0.00356,20200805,serial; see notes,DL238,2,,,
